Rank,State,FIPS Code,Population
1,Maine,23000,45.0
2,New Hampshire,33000,43.1
3,Vermont,50000,43.0
3,West Virginia,54000,43.0
5,Florida,12000,42.7
6,Delaware,10000,41.4
7,Connecticut,9000,41.2
8,Pennsylvania,42000,40.9
9,Rhode Island,44000,40.3
10,Montana,30000,40.2
10,New Jersey,34000,40.2
12,Michigan,26000,40.1
12,South Carolina,45000,40.1
14,Hawaii,15000,40.0
14,Wisconsin,55000,40.0
16,Oregon,41000,39.9
17,Massachusetts,25000,39.7
18,Ohio,39000,39.6
19,Alabama,1000,39.5
20,New York,36000,39.4
21,Kentucky,21000,39.2
21,Maryland,24000,39.2
21,North Carolina,37000,39.2
24,Missouri,29000,39.1
24,Tennessee,47000,39.1
26,Illinois,17000,38.8
27,Virginia,51000,38.7
27,Wyoming,56000,38.7
29,Arkansas,5000,38.6
29,Iowa,19000,38.6
29,New Mexico,35000,38.6
32,Arizona,4000,38.5
32,Minnesota,27000,38.5
32,Nevada,32000,38.5
35,Mississippi,28000,38.3
36,Indiana,18000,38.0
37,Washington,53000,37.9
38,Louisiana,22000,37.8
39,South Dakota,46000,37.6
40,California,6000,37.3
40,Colorado,8000,37.3
40,Georgia,13000,37.3
40,Kansas,20000,37.3
44,Idaho,16000,37.2
45,Oklahoma,40000,37.1
46,Nebraska,31000,36.9
47,North Dakota,38000,35.4
48,Alaska,2000,35.3
49,Texas,48000,35.2
50,District of Columbia,11000,34.4
51,Utah,49000,31.5